編號,證券代號,證券名稱,暫停交易日期,暫停交易時間,恢復交易日期,恢復交易時間
1,061071,復盛凱基9A購01,109/10/15,8:00,,
2,061899,復盛永豐9B購01,109/10/15,8:00,109/10/16,8:00
3,062837,復盛群益9B購01,109/10/15,8:00,109/10/16,8:00
4,063334,復盛國票9B購01,109/10/15,8:00,109/10/16,8:00
5,063918,復盛凱基9C購01,109/10/15,8:00,109/10/16,8:00
6,064135,復盛元大9C購01,109/10/15,8:00,109/10/16,8:00
7,064573,復盛群益9C購01,109/10/15,8:00,109/10/16,8:00
8,067636,復盛永豐01購01,109/10/15,8:00,109/10/16,8:00
9,071519,復盛永豐03購01,109/10/15,8:00,109/10/16,8:00
10,071657,復盛國票04購01,109/10/15,8:00,109/10/16,8:00
11,071681,復盛凱基03購01,109/10/15,8:00,109/10/16,8:00
12,071769,復盛元大03購01,109/10/15,8:00,109/10/16,8:00
13,071794,復盛群益03購01,109/10/15,8:00,109/10/16,8:00
14,071848,復盛統一05購01,109/10/15,8:00,109/10/16,8:00
15,071888,復盛統一04購01,109/10/15,8:00,109/10/16,8:00
16,072220,復盛永豐03購02,109/10/15,8:00,109/10/16,8:00
17,072287,復盛元大03購02,109/10/15,8:00,109/10/16,8:00
18,073598,復盛凱基04購01,109/10/15,8:00,109/10/16,8:00
19,1472,三洋紡,109/11/12,8:00,109/11/13,8:00
20,2477,美隆電,109/10/16,8:00,109/10/19,8:00
21,6670,復盛應用,109/10/15,8:00,109/10/16,8:00
